"","V1","Kingdom","Phylum","Class","Order","Family","Genus","Species","Zotu","index","newGenus","newSpecies","name"
"1",-0.197955532637134,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Peptoniphilaceae","g__Parvimonas","s__micra","Zotu432",1,"Parvimonas","micra","Zotu432 Parvimonas micra"
"2",-0.182034401451579,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Peptostreptococcaceae_[XI]","g__Peptostreptococcaceae_[XI][G-9]","s__[Eubacterium]_brachy","Zotu71",2,"Peptostreptococcaceae_[XI][G-9]","[Eubacterium]_brachy","Zotu71 Peptostreptococcaceae_[XI][G-9] [Eubacterium]_brachy"
"3",-0.176200484760094,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Peptoniphilaceae","g__Parvimonas","s__micra","Zotu138",3,"Parvimonas","micra","Zotu138 Parvimonas micra"
"4",-0.174531923358152,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Peptoniphilaceae","g__Parvimonas","s__micra","Zotu371",4,"Parvimonas","micra","Zotu371 Parvimonas micra"
"5",-0.169761178180013,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Peptoniphilaceae","g__Parvimonas","s__micra","Zotu245",5,"Parvimonas","micra","Zotu245 Parvimonas micra"
"6",-0.158066704953352,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Peptoniphilaceae","g__Parvimonas","s__micra","Zotu1",6,"Parvimonas","micra","Zotu1 Parvimonas micra"
"7",-0.158011063299719,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Peptoniphilaceae","g__Parvimonas","s__micra","Zotu237",7,"Parvimonas","micra","Zotu237 Parvimonas micra"
"8",-0.156879197629536,"k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidales_[F-2]","g__Bacteroidales_[G-2]","s__sp._oral_taxon_274","Zotu26",8,"Bacteroidales_[G-2]","sp._oral_taxon_274","Zotu26 Bacteroidales_[G-2] sp._oral_taxon_274"
"9",-0.149235587018406,"k__Bacteria","p__Firmicutes","c__Erysipelotrichia","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Solobacterium","s__moorei","Zotu110",9,"Solobacterium","moorei","Zotu110 Solobacterium moorei"
"10",-0.141157836168388,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Peptostreptococcaceae_[XI]","g__Mogibacterium","s__timidum","Zotu20",10,"Mogibacterium","timidum","Zotu20 Mogibacterium timidum"
"11",-0.135975311635351,"k__Bacteria","p__Synergistetes","c__Synergistia","o__Synergistales","f__Synergistaceae","g__Fretibacterium","s__fastidiosum","Zotu157",11,"Fretibacterium","fastidiosum","Zotu157 Fretibacterium fastidiosum"
"12",-0.132899164970307,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Peptostreptococcaceae_[XI]","g__Peptostreptococcaceae_[XI][G-1]","s__[Eubacterium]_infirmum","Zotu66",12,"Peptostreptococcaceae_[XI][G-1]","[Eubacterium]_infirmum","Zotu66 Peptostreptococcaceae_[XI][G-1] [Eubacterium]_infirmum"
"13",-0.132570294720154,"k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Porphyromonadaceae","g__Tannerella","s__forsythia","Zotu5",13,"Tannerella","forsythia","Zotu5 Tannerella forsythia"
"14",-0.1255054372686,"k__Bacteria","p__Fusobacteria","c__Fusobacteriia","o__Fusobacteriales","f__Fusobacteriaceae","g__Fusobacterium",NA,"Zotu17",14,"Fusobacterium","sp.","Zotu17 Fusobacterium sp."
"15",-0.120677917918954,"k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Porphyromonadaceae","g__Porphyromonas","(s__endodontalis/s__sp._oral_taxon_285)","Zotu18",15,"Porphyromonas","endodontalis/s__sp._oral_taxon_285)","Zotu18 Porphyromonas endodontalis/s__sp._oral_taxon_285)"
"16",-0.120142350824805,"k__Bacteria","p__Fusobacteria","c__Fusobacteriia","o__Fusobacteriales","f__Fusobacteriaceae","g__Fusobacterium",NA,"Zotu36",16,"Fusobacterium","sp.","Zotu36 Fusobacterium sp."
"17",-0.112701864030857,"k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Coriobacteriales","f__Coriobacteriaceae","g__Slackia","s__exigua","Zotu92",17,"Slackia","exigua","Zotu92 Slackia exigua"
"18",-0.108064368874837,"k__Bacteria","p__Synergistetes","c__Synergistia","o__Synergistales","f__Synergistaceae","g__Fretibacterium","s__fastidiosum","Zotu37",18,"Fretibacterium","fastidiosum","Zotu37 Fretibacterium fastidiosum"
"19",-0.1034507036758,"k__Bacteria","p__Synergistetes","c__Synergistia","o__Synergistales","f__Synergistaceae","g__Fretibacterium","s__sp._oral_taxon_360","Zotu11",19,"Fretibacterium","sp._oral_taxon_360","Zotu11 Fretibacterium sp._oral_taxon_360"
"20",-0.0956483502346724,"k__Bacteria","p__Fusobacteria","c__Fusobacteriia","o__Fusobacteriales","f__Fusobacteriaceae","g__Fusobacterium",NA,"Zotu454",20,"Fusobacterium","sp.","Zotu454 Fusobacterium sp."
"21",-0.09526268891935,"k__Bacteria","p__Spirochaetes","c__Spirochaetia","o__Spirochaetales","f__Spirochaetaceae","g__Treponema","s__socranskii","Zotu19",21,"Treponema","socranskii","Zotu19 Treponema socranskii"
"22",-0.0950484163552684,"k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella","s__oris","Zotu41",22,"Prevotella","oris","Zotu41 Prevotella oris"
"23",-0.0946546843233163,"k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Coriobacteriales","f__Atopobiaceae","g__Olsenella","s__uli","Zotu31",23,"Olsenella","uli","Zotu31 Olsenella uli"
"24",-0.0816792340340096,"k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces","s__meyeri","Zotu143",24,"Actinomyces","meyeri","Zotu143 Actinomyces meyeri"
"25",-0.0715687674535755,"k__Bacteria","p__Fusobacteria","c__Fusobacteriia","o__Fusobacteriales","f__Fusobacteriaceae","g__Fusobacterium","s__nucleatum_subsp._animalis","Zotu6",25,"Fusobacterium","nucleatum_subsp._animalis","Zotu6 Fusobacterium nucleatum_subsp._animalis"
"26",-0.0680252541071977,"k__Bacteria","p__Firmicutes","c__Negativicutes","o__Selenomonadales","f__Veillonellaceae","g__Dialister","s__invisus","Zotu21",26,"Dialister","invisus","Zotu21 Dialister invisus"
"27",-0.0655820074465564,"k__Bacteria","p__Fusobacteria","c__Fusobacteriia","o__Fusobacteriales","f__Fusobacteriaceae","g__Fusobacterium","s__nucleatum_subsp._animalis","Zotu3",27,"Fusobacterium","nucleatum_subsp._animalis","Zotu3 Fusobacterium nucleatum_subsp._animalis"
"28",-0.0654002395075975,"k__Bacteria","p__Fusobacteria","c__Fusobacteriia","o__Fusobacteriales","f__Fusobacteriaceae","g__Fusobacterium",NA,"Zotu12",28,"Fusobacterium","sp.","Zotu12 Fusobacterium sp."
"29",-0.062392046226516,"k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella","s__nigrescens","Zotu23",29,"Prevotella","nigrescens","Zotu23 Prevotella nigrescens"
"30",-0.0601791024027987,"k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella","s__oris","Zotu45",30,"Prevotella","oris","Zotu45 Prevotella oris"
"31",-0.0574279785726126,"k__Bacteria","p__Fusobacteria","c__Fusobacteriia","o__Fusobacteriales","f__Fusobacteriaceae","g__Fusobacterium","s__nucleatum_subsp._animalis","Zotu15",31,"Fusobacterium","nucleatum_subsp._animalis","Zotu15 Fusobacterium nucleatum_subsp._animalis"
"32",-0.0535937645220376,"k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Coriobacteriales","f__Coriobacteriaceae","g__Atopobium",NA,"Zotu33",32,"Atopobium","sp.","Zotu33 Atopobium sp."
"33",-0.0501735168876123,"k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella","s__buccae","Zotu78",33,"Prevotella","buccae","Zotu78 Prevotella buccae"
"34",-0.0490813024481232,"k__Bacteria","p__Saccharibacteria_(TM7)","c__TM7_[C-1]","o__TM7_[O-1]","f__TM7_[F-1]","g__TM7_[G-1]","s__sp._oral_taxon_346","Zotu134",34,"TM7_[G-1]","sp._oral_taxon_346","Zotu134 TM7_[G-1] sp._oral_taxon_346"
"35",-0.03585222337726,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae_[XIV]","g__Shuttleworthia","s__satelles","Zotu63",35,"Shuttleworthia","satelles","Zotu63 Shuttleworthia satelles"
"36",-0.0321736493005391,"k__Bacteria","p__Firmicutes","c__Negativicutes","o__Selenomonadales","f__Veillonellaceae","g__Veillonellaceae_[G-1]","(s__sp._oral_taxon_129/s__sp._oral_taxon_132/s__sp._oral_taxon_150)","Zotu87",36,"Veillonellaceae_[G-1]","sp._oral_taxon_129/s__sp._oral_taxon_132/s__sp._oral_taxon_150)","Zotu87 Veillonellaceae_[G-1] sp._oral_taxon_129/s__sp._oral_taxon_132/s__sp._oral_taxon_150)"
"37",-0.0282649545300969,"k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Porphyromonadaceae","g__Tannerella","(s__sp._oral_taxon_286/s__sp._oral_taxon_808)","Zotu136",37,"Tannerella","sp._oral_taxon_286/s__sp._oral_taxon_808)","Zotu136 Tannerella sp._oral_taxon_286/s__sp._oral_taxon_808)"
"38",-0.0279535384964346,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Peptostreptococcaceae_[XI]","g__Mogibacterium","(s__diversum/s__neglectum/s__pumilum/s__vescum)","Zotu113",38,"Mogibacterium","diversum/s__neglectum/s__pumilum/s__vescum)","Zotu113 Mogibacterium diversum/s__neglectum/s__pumilum/s__vescum)"
"39",-0.0276965905521245,"k__Bacteria","p__Firmicutes","c__Negativicutes","o__Selenomonadales","f__Veillonellaceae","g__Selenomonas","s__sp._oral_taxon_134","Zotu106",39,"Selenomonas","sp._oral_taxon_134","Zotu106 Selenomonas sp._oral_taxon_134"
"40",-0.0218549887205054,"k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Coriobacteriales","f__Coriobacteriaceae","g__Atopobium","s__sp._oral_taxon_199","Zotu25",40,"Atopobium","sp._oral_taxon_199","Zotu25 Atopobium sp._oral_taxon_199"
"41",-0.00826051238053552,"k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__intermedius","Zotu102",41,"Streptococcus","intermedius","Zotu102 Streptococcus intermedius"
"42",-0.00382094757909647,"k__Bacteria","p__Spirochaetes","c__Spirochaetia","o__Spirochaetales","f__Spirochaetaceae","g__Treponema","s__socranskii","Zotu38",42,"Treponema","socranskii","Zotu38 Treponema socranskii"
"43",0.00510396512883227,"k__Bacteria","p__Proteobacteria","c__Epsilonproteobacteria","o__Campylobacterales","f__Campylobacteraceae","g__Campylobacter","s__gracilis","Zotu85",43,"Campylobacter","gracilis","Zotu85 Campylobacter gracilis"
"44",0.0186324235718298,"k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Coriobacteriales","f__Atopobiaceae","g__Olsenella","s__sp._oral_taxon_809","Zotu64",44,"Olsenella","sp._oral_taxon_809","Zotu64 Olsenella sp._oral_taxon_809"
"45",0.0224705840012417,"k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Coriobacteriales","f__Atopobiaceae","g__Olsenella","s__profusa","Zotu450",45,"Olsenella","profusa","Zotu450 Olsenella profusa"
"46",0.0250350715239269,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Eubacteriaceae_[XV]","g__Pseudoramibacter","s__alactolyticus","Zotu9",46,"Pseudoramibacter","alactolyticus","Zotu9 Pseudoramibacter alactolyticus"
"47",0.0256834560749447,"k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella","s__oralis","Zotu53",47,"Prevotella","oralis","Zotu53 Prevotella oralis"
"48",0.0290953668883169,"k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella","s__maculosa","Zotu133",48,"Prevotella","maculosa","Zotu133 Prevotella maculosa"
"49",0.0337098819804677,"k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__anginosus","Zotu51",49,"Streptococcus","anginosus","Zotu51 Streptococcus anginosus"
"50",0.0347359157943366,"k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces","s__sp._oral_taxon_525","Zotu65",50,"Actinomyces","sp._oral_taxon_525","Zotu65 Actinomyces sp._oral_taxon_525"
"51",0.0355897262381232,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae_[XIV]","g__Oribacterium","s__sp._oral_taxon_078","Zotu95",51,"Oribacterium","sp._oral_taxon_078","Zotu95 Oribacterium sp._oral_taxon_078"
"52",0.0423786303162626,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae_[XIV]","g__Lachnospiraceae_[G-7]","s__sp._oral_taxon_086","Zotu242",52,"Lachnospiraceae_[G-7]","sp._oral_taxon_086","Zotu242 Lachnospiraceae_[G-7] sp._oral_taxon_086"
"53",0.0438933786817783,"k__Bacteria","p__Proteobacteria","c__Epsilonproteobacteria","o__Campylobacterales","f__Campylobacteraceae","g__Campylobacter","(s__rectus/s__showae)","Zotu99",53,"Campylobacter","rectus/s__showae)","Zotu99 Campylobacter rectus/s__showae)"
"54",0.079829146526357,"k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces",NA,"Zotu39",54,"Actinomyces","sp.","Zotu39 Actinomyces sp."
"55",0.0883768498289843,"k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces",NA,"Zotu8",55,"Actinomyces","sp.","Zotu8 Actinomyces sp."
"56",0.0908106721708813,"k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella","s__denticola","Zotu14",56,"Prevotella","denticola","Zotu14 Prevotella denticola"
"57",0.0918838490968568,"k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces","(s__georgiae/s__sp._oral_taxon_178/s__sp._oral_taxon_877)","Zotu148",57,"Actinomyces","georgiae/s__sp._oral_taxon_178/s__sp._oral_taxon_877)","Zotu148 Actinomyces georgiae/s__sp._oral_taxon_178/s__sp._oral_taxon_877)"
"58",0.0970289443245407,"k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella","s__sp._oral_taxon_300","Zotu177",58,"Prevotella","sp._oral_taxon_300","Zotu177 Prevotella sp._oral_taxon_300"
"59",0.10265921842692,"k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","(s__dentisani/s__infantis/s__mitis/s__oralis/s__sp._oral_taxon_058/s__sp._oral_taxon_061/s__sp._oral_taxon_064/s__sp._oral_taxon_070/s__sp._oral_taxon_423/s__sp._oral_taxon_431/s__tigurinus)","Zotu35",59,"Streptococcus","dentisani/s__infantis/s__mitis/s__oralis/s__sp._oral_taxon_058/s__sp._oral_taxon_061/s__sp._oral_taxon_064/s__sp._oral_taxon_070/s__sp._oral_taxon_423/s__sp._oral_taxon_431/s__tigurinus)","Zotu35 Streptococcus dentisani/s__infantis/s__mitis/s__oralis/s__sp._oral_taxon_058/s__sp._oral_taxon_061/s__sp._oral_taxon_064/s__sp._oral_taxon_070/s__sp._oral_taxon_423/s__sp._oral_taxon_431/s__tigurinus)"
"60",0.113833227751581,"k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Coriobacteriales","f__Atopobiaceae","g__Olsenella","s__sp._oral_taxon_807","Zotu90",60,"Olsenella","sp._oral_taxon_807","Zotu90 Olsenella sp._oral_taxon_807"
"61",0.114718039642838,"k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Propionibacteriales","f__Propionibacteriaceae","g__Propionibacterium","s__acidifaciens","Zotu56",61,"Propionibacterium","acidifaciens","Zotu56 Propionibacterium acidifaciens"
"62",0.124122114183456,"k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Coriobacteriales","f__Atopobiaceae","g__Olsenella","s__uli","Zotu359",62,"Olsenella","uli","Zotu359 Olsenella uli"
"63",0.126937922867348,"k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces",NA,"Zotu44",63,"Actinomyces","sp.","Zotu44 Actinomyces sp."
"64",0.129632873239057,"k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Propionibacteriales","f__Propionibacteriaceae","g__Propionibacterium","s__acidifaciens","Zotu201",64,"Propionibacterium","acidifaciens","Zotu201 Propionibacterium acidifaciens"
"65",0.131306267478157,"k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella",NA,"Zotu80",65,"Prevotella","sp.","Zotu80 Prevotella sp."
"66",0.144570931950948,"k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces",NA,"Zotu40",66,"Actinomyces","sp.","Zotu40 Actinomyces sp."
"67",0.147387119296333,"k__Bacteria","p__Proteobacteria","c__Epsilonproteobacteria","o__Campylobacterales","f__Campylobacteraceae","g__Campylobacter","s__gracilis","Zotu119",67,"Campylobacter","gracilis","Zotu119 Campylobacter gracilis"
"68",0.15472313505232,"k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Coriobacteriales","f__Atopobiaceae","g__Olsenella","s__profusa","Zotu7",68,"Olsenella","profusa","Zotu7 Olsenella profusa"
"69",0.15536028711705,"k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces","s__sp._oral_taxon_448","Zotu58",69,"Actinomyces","sp._oral_taxon_448","Zotu58 Actinomyces sp._oral_taxon_448"
"70",0.167649448194806,"k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella","s__sp._oral_taxon_300","Zotu54",70,"Prevotella","sp._oral_taxon_300","Zotu54 Prevotella sp._oral_taxon_300"
"71",0.175365253731622,"k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Propionibacteriales","f__Propionibacteriaceae","g__Propionibacterium","s__acidifaciens","Zotu212",71,"Propionibacterium","acidifaciens","Zotu212 Propionibacterium acidifaciens"
"72",0.182592390369324,"k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__mutans","Zotu4",72,"Streptococcus","mutans","Zotu4 Streptococcus mutans"
"73",0.189471024880232,"k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium","s__dentium","Zotu16",73,"Bifidobacterium","dentium","Zotu16 Bifidobacterium dentium"
"74",0.18992961198952,"k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__mutans","Zotu308",74,"Streptococcus","mutans","Zotu308 Streptococcus mutans"
"75",0.196218800285824,"k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__mutans","Zotu228",75,"Streptococcus","mutans","Zotu228 Streptococcus mutans"
"76",0.216082535249768,"k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__mutans","Zotu221",76,"Streptococcus","mutans","Zotu221 Streptococcus mutans"
